component,fault_description,root_cause,corrective_action,model
motor,High-pitched squeal on start-up and a faint burnt smell after a few minutes.,Bearing lubrication failure leading to overheating.,"Replace bearings, re-grease to OEM spec, and implement a lubrication schedule.",
motor,Motor hums loudly and trips the breaker as soon as it tries to turn.,Locked rotor due to misalignment or seized load.,"Decouple the load, verify the rotor spins freely, correct alignment and check for seized components.",
motor,Noticeable vibration after recent maintenance; vibration amplitude increases with speed.,Rotor imbalance or coupling misalignment.,Perform dynamic balancing and re-align the coupling to tolerance.,
motor,Running hot with reduced torque; terminals feel warm.,Single-phasing or voltage imbalance.,"Check supply fuses and phases, tighten terminals, correct feed imbalance.",
motor,Visible arcing at brushes and erratic speed (DC motor).,Worn brushes and contaminated commutator.,"Replace brushes, skim/clean commutator, verify brush spring tension.",
motor,Signs of moisture ingress; insulation resistance is low.,Water ingress degrading insulation.,"Dry the windings, perform IR/megger test, improve enclosure sealing/IP rating.",
motor,Single-phase motor struggles to start in cold weather; occasional buzzing.,Start/run capacitor degradation.,Test and replace the capacitor; verify correct capacitance rating.,
pump,Pump runs but there is no flow; discharge valve was partly closed.,Impeller blockage or valve position causing starvation.,"Open/verify valves, inspect/clear impeller and suction strainer.",
pump,Loud rattling and “gravel” sound; pressure fluctuates.,Low NPSH or air ingress on suction side causing cavitation.,"Check suction head, seal leaks on suction, re-prime and reduce suction lift.",
pump,Mechanical seal area is wet and dripping.,Seal face wear or damaged O-rings.,"Replace mechanical seal, verify alignment and flush plan as required.",
pump,Discharge pressure is lower than last month at same speed.,Impeller wear or excessive clearances.,Inspect/overhaul impeller and wear rings; restore clearances.,
pump,Trips on overload; strong burning smell; shaft hard to turn by hand.,Seized bearing or jammed impeller.,"Strip pump, replace bearings, clear debris and flush casing.",
pump,New vibration after pipework change; grows with flow.,Piping strain transmitted to casing; misalignment.,"Add/support pipe hangers, re-align pump and motor, grout base as needed.",
pump,Loses prime overnight; needs manual prime each morning.,Non-return/foot valve leaking back.,Inspect and replace the check/foot valve; verify seating and cleanliness.,
compressor,High discharge temperature and reduced efficiency.,Cooling failure due to fouled intercooler or fan issue.,"Clean/flush intercooler, check fan operation and thermostat.",
compressor,Oil visible in downstream air tools and receivers.,Saturated or failed oil separator element.,"Replace separator, verify oil level and differential pressure across element.",
compressor,Slow to build pressure; inlet sounds restricted.,Clogged intake air filter.,Replace/clean intake filter; inspect intake ducting.,
compressor,Unit trips on high vibration; mounts look worn.,Imbalance or loose mounting.,"Inspect/replace mounts, balance rotating parts, tighten fixings.",
compressor,Short cycling: frequent start/stop around setpoint.,Incorrect pressure switch deadband or system leak.,Adjust pressure switch deadband; leak-test and repair fittings.,
compressor,Water in air line and tools.,Dryer/aftercooler malfunction or drain failure.,"Service/repair dryer, check condensate drains and receiver purge.",
compressor,Loud metallic knocking from head; output drops.,Damaged valve plate or reeds.,Inspect and replace valve plate/reeds; check for debris and re-torque.,
